id;question;answer_1;answer_2;answer_3;answer_4;correct_answer;jhi_time
1;¿Cuantas copas se han disputado contando la del 2014?;16;18;19;20;4;15000
2;¿Cuantas Copas han existido?;Una copa;Dos copas;Tres copas;Una copa por mundial;2;30000
3;¿Quien fue el diseñador de la copa que se entrego en el mundial de 1970?;Jules Rimet;Silvio Gazzaniga;Abel Lafleur;Bertoni;3;20000
4;¿Como se llamo originalmente la copa del mundo?;Trofeo Silvio Ganizza;Trofeo Julis Romet;Trofeo Victoria;Trofeo de la Copa Mundial de la FIFA;3;30000
5;¿A que se refería el nombre “Victoria” que tuvo la primera copa?;A su diseñador;A una diosa griega;Al presidente de la FIFA del momento;Ninguna es correcta;2;30000
6;¿Donde se encuentra el trofeo Jules Remit?;Lo posee Brasil por ser campeón 3 veces;Fue robado y nunca encontrado;En el museo de Lourdes;Ninguna es correcta;2;30000
7;¿Cuándo se jugó el primer Mundial de Fútbol?;1920;1925;1930;1935;3;15000
8;¿En que pais se jugó el primer Mundial de Fútbol?;Argentina;Alemania;Brasil;Uruguay;4;20000
9;Uno de los países que hará su debut en el Mundial de Rusia 2018 es:;Islandia;Egipto;Colombia;Australia;1;20000
10;¿Quién ha sido el máximo anotador de todos los tiempos?;Miroslav Klose;Cristiano Ronaldo;Leonel Messi;Zlatan Ibrahimović;1;30000
11;¿Qué jugador ha estado en más partidos de un Mundial?;Lothar Matthaeus;Franz Beckenbauer;Luigi Buffon;Miroslav Klose;1;30000
12;¿Qué jugador ha ganado el Mundial en tres ocasiones?;Maradona;Pelé;Mário Zagallo;Lothar Matthaeus;2;30000
13;¿Qué país ha jugado en cada edición del Mundial de Futbol?;Francia;Alemania;Argentina;Brasil;4;20000
14;¿Cómo se llama la mascota de Rusia 2018?;Willie;Zabivaka;Naranjito;Ciao;2;20000
15;¿Quién ha anotado un gol olímpico (tiro de esquina) en un Mundial?;Marcos Ignacio Croll;Cristiano Ronaldo;Abel Lafleur;Miroslav Klose;1;20000
16;¿Qué país ha jugado más veces en un Mundial sin haber sido campeón?;Colombia;Italia;México;Francia;3;20000
17;¿Cómo se llama el estadio donde se jugará la final?;Zenit Arena;Samara Arena;Rostov Arena;Estadio Olímpico Luzhiniki;4;20000
18;¿Qué número de Mundial será el de Rusia?;20;21;22;23;2;15000
19;Contando el de Rusia, ¿cuántos Mundiales habrá jugado Messi?;3;2;4;5;3;15000
20;¿Cuál de estas selecciones NO jugará el Mundial?;Iran;Senegal;Sudáfrica;Marruecos;3;20000
21;¿Cuántos países campeones del mundo estarán ausentes en Rusia 2018?;1;2;3;4;1;15000
